1			10000		10000		10000		10000		10000		10058		9640		10000		10000		10000		1		1		1		1		0		0		2		1		0		0		0		0		0		0		0		0		0		0		0		0
2			10058		9640		10000		10000		10000		10275		9640		9640		10000		10000		1		1		1		2		2		1		2		1		0		0		3		1		0		0		0		0		0		0		0		0
3			10275		9640		9640		10000		10000		10332		9640		9640		10000		10000		1		2		1		2		2		1		2		1		3		1		3		1		0		0		4		1		0		0		0		0
4			10332		9640		9640		9640		10000		10475		9715		9640		9640		9640		1		2		1		2		2		1		2		2		3		1		3		1		4		1		4		1		0		0		5		1
5			10475		9715		9640		9640		9640		10532		9715		9640		9640		9640		1		2		1		2		2		2		2		2		3		1		3		1		4		1		4		1		5		1		5		1
6			10532		9715		9640		9640		9640		10675		9715		9715		9640		9640		1		2		1		2		2		2		2		2		3		1		3		2		4		1		4		1		5		1		5		1
7			10675		9715		9715		9640		9640		10732		9715		9715		9640		9640		1		2		1		2		2		2		2		2		3		2		3		2		4		1		4		1		5		1		5		1
8			10732		9715		9715		9640		9640		10875		9715		9715		9715		9640		1		2		1		2		2		2		2		2		3		2		3		2		4		1		4		2		5		1		5		1
9			10875		9715		9715		9715		9640		10932		9715		9715		9715		9640		1		2		1		2		2		2		2		2		3		2		3		2		4		2		4		2		5		1		5		1
10			10932		9715		9715		9715		9640		11075		9715		9715		9715		9715		1		2		1		2		2		2		2		2		3		2		3		2		4		2		4		2		5		1		5		2
11			11075		9715		9715		9715		9715		11132		9715		9715		9715		9715		1		2		1		2		2		2		2		2		3		2		3		2		4		2		4		2		5		2		5		2
12			11132		9715		9715		9715		9715		11275		9715		9715		9715		9715		1		2		1		2		2		2		2		2		3		2		3		2		4		2		4		2		5		2		5		2
13			11275		9715		9715		9715		9715		11332		9715		9715		9715		9715		1		2		1		2		2		2		2		2		3		2		3		2		4		2		4		2		5		2		5		2
14			11332		9715		9715		9715		9715		12361		9715		9715		9715		9715		1		2		1		3		2		2		2		2		3		2		3		2		4		2		4		2		5		2		5		2
15			12361		9715		9715		9715		9715		12419		9715		9715		9715		9715		1		3		1		3		2		2		2		2		3		2		3		2		4		2		4		2		5		2		5		2
16			12419		9715		9715		9715		9715		12561		9715		9715		9715		9715		1		3		1		3		2		2		2		2		3		2		3		2		4		2		4		2		5		2		5		2
17			12561		9715		9715		9715		9715		12619		9715		9715		9715		9715		1		3		1		3		2		2		2		2		3		2		3		2		4		2		4		2		5		2		5		2
